R,Player,Age,Continet,Team,TeamA,TeamB,TeamC,Position,FW,MF,DF,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,Rating2,Drb,Tackles,Blocks,Clear,Inter
93,Mousa Demb?l? ,31,1,Tottenham  ,1,0,0,MF,0,0,0,21(7),1886,0,0,6,0,0.4,92.2,0.3,0,6.9,6.22,2.4,1.3,0,0.4,1.2
94,Steve Cook ,27,1,Bournemouth  ,0,1,0,DF,0,0,1,31(3),2766,2,1,5,0,0.6,75.8,4,1,6.89,5.83,0,1.1,1.3,6.6,1.6
95,Mike van der Hoorn,25,1,Swansea  ,0,0,1,DF,0,0,1,24,1952,1,0,4,0,0.4,76.3,2.4,0,6.89,5.86,0.4,1.3,0.6,5.1,1.6
96,Wesley Hoedt ,24,1,Southampton  ,0,0,1,DF,0,0,1,28,2520,0,1,7,0,0.5,78.9,2.2,1,6.89,6.2,0.9,2.1,0.6,6.1,1.4
97,Stephen Ward ,32,0,Burnley  ,0,1,0,DF,0,0,1,28,2462,1,1,1,0,0.2,69.1,2.1,1,6.89,6.71,0.2,1.4,0.4,3.6,1.5
98,Nathan Ak? ,23,1,Bournemouth  ,0,1,0,DF,0,0,1,37(1),3354,2,3,5,0,0.5,83.9,2.8,0,6.88,6.4,0.3,1.4,0.6,6,1.3
99,Michail Antonio ,28,1,West Ham ,0,1,0,MF,0,0,0,16(5),1358,3,1,1,0,1.6,67.8,2,0,6.88,6.11,2.4,0.7,0,0.7,0.6
100,Gylfi Sigurdsson ,28,1,Everton  ,0,1,0,MF,0,0,0,25(2),2262,4,3,2,0,1.4,74.9,0.7,1,6.88,6.73,0.7,1.4,0.3,1.1,1.3
101,Alex Iwobi ,22,0,Arsenal  ,0,1,0,MF,0,0,0,22(4),1844,3,5,1,0,1.7,86.6,0.1,0,6.88,6.26,1.4,0.7,0,0.3,0.3
102,Joshua King ,26,1,Bournemouth  ,0,1,0,FW,1,0,0,27(6),2456,8,3,3,0,1.5,72.9,2.1,3,6.88,6.26,1.9,1.1,0.1,0.4,0.1
103,Alex Oxlade Chamberlain,24,1,Liverpool  ,1,0,0,MF,0,0,0,14(18),1485,3,7,3,0,1.2,81.9,0.3,1,6.88,6.14,1.3,1,0,0.2,0.6
104,Anthony Martial ,22,1,Manchester United ,1,0,0,FW,1,0,0,18(12),1584,9,5,1,0,1.6,81.9,0.5,0,6.87,6.29,1.4,0.5,0,0.2,0.1
105,Junior Stanislas ,28,1,Bournemouth  ,0,1,0,MF,0,0,0,17(2),1299,5,2,1,0,2.4,77.3,0.5,3,6.87,5.95,1.1,0.8,0.3,0.6,0.3
106,Joe Allen ,28,1,Stoke  ,0,0,1,MF,0,0,0,36,3142,2,6,8,0,0.7,81.1,1,3,6.87,6.21,1.2,2.7,0.3,1.5,1.6
107,Jonjoe Kenny ,21,1,Everton  ,0,1,0,DF,0,0,1,17(2),1589,0,1,2,0,0.2,68.5,2,0,6.87,6.11,0.3,2.2,0.4,3.8,1.5
108,Xherdan Shaqiri ,26,1,Stoke  ,0,0,1,MF,0,0,0,36,3049,8,7,5,0,1.9,79.5,0.1,2,6.87,6,1.1,0.7,0,0.1,0.4
109,Juan Mata ,30,1,Manchester United ,1,0,0,MF,0,0,0,23(5),1933,3,5,1,0,1,86.7,0.1,1,6.87,5.88,0.6,0.6,0,0.3,0.5
110,Tiemou? Bakayoko ,23,1,Chelsea  ,1,0,0,MF,0,0,0,24(5),2126,2,2,3,1,1.4,86.2,1.4,1,6.87,6.18,1.2,2.2,0.2,1.2,1.3
111,Gary Cahill ,32,1,Chelsea  ,1,0,0,DF,0,0,1,24(3),2084,0,0,1,1,0.4,89,3.4,0,6.87,6.25,0.1,1.1,0.5,4.6,1
112,Aaron Mooy ,27,0,Huddersfield  ,0,0,1,MF,0,0,0,34(2),3071,4,3,5,0,0.8,79.5,0.9,0,6.86,6.25,0.4,2.8,0.1,1.3,1.1
113,Maya Yoshida ,29,0,Southampton  ,0,0,1,DF,0,0,1,23(1),2051,2,0,2,1,0.8,84.2,2.8,0,6.86,5.81,0.1,1.1,0.6,5.4,1.7
114,Peter Crouch ,37,1,Stoke  ,0,0,1,FW,1,0,0,14(17),1555,5,2,4,0,0.7,58.8,7.8,1,6.85,6.21,0.2,0.1,0.1,1,0
115,Mohamed Diam? ,31,0,Newcastle United ,0,1,0,MF,0,0,0,23(8),2043,2,0,3,0,0.6,81.5,2,1,6.85,6.18,0.8,2.9,0.2,0.9,1.5
116,Pedro Obiang ,26,1,West Ham ,0,1,0,MF,0,0,0,18(3),1565,2,0,3,0,0.6,80.5,1,2,6.85,6.09,1.1,2.5,0.8,0.9,1.1
117,Vicente Iborra ,30,1,Leicester  ,0,1,0,MF,0,0,0,17(2),1417,3,0,0,0,0.7,81.4,1.7,1,6.85,5.96,0.6,1.2,0.6,2.6,1
118,Mikel Merino ,22,1,Newcastle United ,0,1,0,MF,0,0,0,14(10),1343,1,1,4,0,0.7,79.3,1.6,1,6.85,5.94,1.2,2.3,0.3,1,1.4
119,Richarlison  ,21,0,Watford  ,0,1,0,FW,1,0,0,32(6),2827,5,4,4,0,2.5,63.9,3.2,4,6.84,6.14,1.2,1.7,0.1,0.8,0.6
120,Kyle Naughton ,29,1,Swansea  ,0,0,1,DF,0,0,1,34,3033,0,2,1,0,0.4,74.8,2,0,6.84,6.17,0.7,2.7,0.4,3,1.8
121,Matt Ritchie ,28,1,Newcastle United ,0,1,0,MF,0,0,0,32(3),2812,3,5,6,0,1.7,72.5,0.9,1,6.84,6.17,0.5,1.3,0.1,1.5,1
122,Jack Wilshere ,26,1,Arsenal  ,0,1,0,MF,0,0,0,12(8),1188,1,3,6,0,0.8,86.4,0.4,1,6.82,6.28,2.3,0.8,0.1,0.3,0.4
123,Phil Jagielka ,35,1,Everton  ,0,1,0,DF,0,0,1,23(2),2065,0,0,2,0,0.3,75.9,2.7,2,6.82,6.17,0,1.3,0.8,7.1,1.6
124,Jesse Lingard ,25,1,Manchester United ,1,0,0,MF,0,0,0,20(13),1823,8,5,2,0,1.7,87.8,0.2,1,6.82,5.87,0.8,0.9,0.1,0.3,0.3
125,Joel Ward ,28,1,Crystal Palace ,0,1,0,DF,0,0,1,19,1616,0,1,4,0,0.3,71.8,1.7,0,6.82,6.2,0.4,1.8,0.6,3.2,1.5
126,Ben Chilwell ,21,1,Leicester  ,0,1,0,DF,0,0,1,20(4),1852,0,2,1,1,0.3,73.9,2.8,1,6.82,5.85,1.3,1.5,0.2,2.6,1.2
127,Christian Fuchs ,32,1,Leicester  ,0,1,0,DF,0,0,1,21(4),1918,0,1,1,0,0.4,74.1,2.4,2,6.81,6.06,0.4,1.6,0.1,2.8,2.3
128,Pascal Gro©¬ ,27,1,Brighton  ,0,1,0,MF,0,0,0,35(3),2949,7,8,2,0,1.2,76.2,0.3,2,6.81,6.19,0.3,0.9,0.1,0.5,0.4
129,Alfie Mawson ,24,1,Swansea  ,0,0,1,DF,0,0,1,38,3420,2,1,3,0,0.5,81.1,3.2,0,6.81,6.61,0.6,0.8,0.8,5.8,0.9
130,Ragnar Klavan ,32,0,Liverpool  ,1,0,0,DF,0,0,1,16(3),1449,1,0,0,0,0.1,90.7,2.1,0,6.81,5.65,0.2,0.7,0.3,4.3,0.8
